"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-1-35",4797.06195454545,0,4797.06195454545,0,4797.06195454545,0,195.1005,688.326,1820.215,4319.84,5401.635,8053.015,12854.2,19435.35
"B-1-36",3602.41268181818,0,3602.41268181818,0,3602.41268181818,53.6165,419.328,1339.54,1309.38,2750.72,4503.58,7832.945,9357.03,12060.4
"B-1-25",10809.5963636364,0,10809.5963636364,0,10809.5963636364,1354.29,3169.375,6891.64,6768.6,11157.7,12302.855,21403.65,25751.4,30106.05
"B-1-26",8599.21113636364,0,8599.21113636364,0,8599.21113636364,313.2125,1628.345,3797,2663.745,8818.54,8121.33,18631.6,23186.8,27430.75
"B-1-27",3909.739,0,3909.739,0,3909.739,0,231.084,1290.5,1375.215,2970.725,3751.51,8265.745,11725.8,13396.55
"B-1-29",6999.679,0,6999.679,0,6999.679,274.644,1459.72,2968.76,3539.405,8213.755,8246.535,14694.5,17735.4,19863.75
"B-1-30",6018.1495,0,6018.1495,0,6018.1495,42.2155,601.859,1687.33,3347.985,7358.46,10612.095,13496.35,14823.1,14230.25
"B-1-31",10012.1477272727,0,10012.1477272727,0,10012.1477272727,976.425,3362.225,7017.6,5473.305,9468.29,10224.63,19720.15,25895.2,27995.8
"B-1-33",6163.44859090909,0,6163.44859090909,0,6163.44859090909,380.6695,1220.86,1809.97,3098.64,7767.525,5980.77,14567.35,15698.3,17273.85
"B-1-46",3268.38022727273,0,3268.38022727273,0,3268.38022727273,58.86,232.466,339.4835,500.378,1592.23,2668.46,7253.995,9816.01,13490.3
"B-1-47",15139.9404545455,0,15139.9404545455,0,15139.9404545455,1743.11,4953.01,8083.435,7194.59,13367.35,17549.3,27260.05,37953.9,48434.6
"B-1-48",5779.81581818182,0,5779.81581818182,163.9345,5779.81581818182,499.0445,1138.43,2025.42,2055.13,6511.295,7423.12,14135.9,14613.6,15012.1
"B-1-37",6201.84740909091,0,6201.84740909091,0,6201.84740909091,235.4955,642.651,1346.17,2063.49,5861.58,7338.935,14569.05,17155.3,19007.65
"B-1-39",6960.12968181818,0,6960.12968181818,0,6960.12968181818,703.2615,1666.81,2740.095,2540.64,6044.48,7432.44,14851.4,18251.5,22330.8
"B-1-40",3955.74354545455,0,3955.74354545455,0,3955.74354545455,120.033,667.265,2214.72,971.341,3901.88,3685.285,7756.955,11128.3,13067.4
"B-1-41",4962.11627272727,0,4962.11627272727,0,4962.11627272727,301.096,966.613,2495.745,1549.05,4490.72,5692.755,9130.3,12335.8,17621.2
"B-1-42",5743.64368181818,0,5743.64368181818,0,5743.64368181818,737.6805,1986.42,3557.34,2481.38,4457.235,9237.325,10286.2,12150.5,18286
"B-1-43",9601.81736363636,0,9601.81736363636,0,9601.81736363636,461.461,1400.56,2447.335,3991.01,9003.97,12038.455,18888.25,25025.3,32363.65
"B-1-44",5544.51954545455,0,5544.51954545455,0,5544.51954545455,105.739,574.681,1587.2,2317.26,4903.755,6285.18,11784.85,15604.5,17826.55
"B-1-45",6079.70590909091,0,6079.70590909091,0,6079.70590909091,0,0,732.78,1399.48,3837.69,5652.265,13026.35,18581.4,23646.8
"B-1-58",7296.26581818182,0,7296.26581818182,0,7296.26581818182,960.299,2043.19,3887.145,2541.075,6381.57,7159.445,14953.75,16526,25806.45
"B-1-59",15143.9995909091,0,15143.9995909091,0,15143.9995909091,571.7205,2335.79,4460.265,6003.72,14800.3,18730.1,41351.05,37472.2,40858.85
"B-1-60",7586.84690909091,0,7586.84690909091,0,7586.84690909091,896.071,2307.97,4412.9,4053.58,9415.84,7863.005,13597.9,18911.8,21996.25
"B-1-49",8047.09722727273,0,8047.09722727273,0,8047.09722727273,693.7545,1970.89,3608.755,4419.23,7904.04,10929.25,16897,18540.3,23554.85
"B-1-50",8627.71145454546,0,8627.71145454546,0,8627.71145454546,336.316,1539.05,3227.415,3732.18,6918.615,9012.45,16421.2,23666.9,30050.7
"B-1-51",12667.7927727273,0,12667.7927727273,0,12667.7927727273,289.1605,1183.82,1914.115,4668.22,9067.605,14127.3,28165.05,32425.2,47505.25
"B-1-52",4544.94672727273,0,4544.94672727273,0,4544.94672727273,997.069,2324.09,3552.995,1589.475,3251.37,4640.1,6870.715,9808.95,16959.65
"B-1-53",12883.9824545455,0,12883.9824545455,0,12883.9824545455,132.302,534.47,2897.975,5914.61,12900.25,15357.95,32693.25,30284.2,41008.8
"B-1-54",17042.0222727273,0,17042.0222727273,0,17042.0222727273,1746.155,2844.66,6616.09,8156.54,16037.45,16691.25,36001.75,44121.2,55247.15
"B-1-55",2934.31495454545,0,2934.31495454545,0,2934.31495454545,0,91.225,112.8515,463.438,1407.755,5254.855,5231.36,7598.78,12117.2
"B-1-56",4450.06963636364,0,4450.06963636364,0,4450.06963636364,196.083,565.983,1895.95,1995.205,4506.745,3853.595,8338.655,11531.5,16067.05
"B-1-57",7575.19486363636,0,7575.19486363636,143.4135,7575.19486363636,1557.205,2858.91,5363.665,4315.22,7328.98,6817.5,15050.45,14864,25027.8
"B-1-70",6255.90368181818,0,6255.90368181818,0,6255.90368181818,615.8655,1878.84,3766.845,3506.14,6362.5,2634.35,13223.4,14827.75,21999.25
"B-1-71",10270.0174090909,0,10270.0174090909,0,10270.0174090909,836.8415,1356.63,2674.125,3974.52,8711.04,8704.585,26018.55,27737.25,32956.65
