"","TS","Temp","RH","VPD","SR","WS"
"136","2019-12-29 09:45:00","17.91000","83.40000","0.34061774"," 88.8000","3.143000"
"137","2019-12-29 10:00:00","18.54000","83.40000","0.35435598","117.5000","3.231000"
"138","2019-12-29 10:15:00","19.33000","82.80000","0.38572229","136.7000","1.756000"
"139","2019-12-29 10:30:00","20.02000","82.60000","0.40727885","151.6000","1.900379"
"140","2019-12-29 10:45:00","20.50000","81.40000","0.44847002","170.3000","2.917000"
"141","2019-12-29 11:00:00","20.84000","82.20000","0.43826150","164.3000","2.620000"
"142","2019-12-29 11:15:00","21.21000","80.20000","0.49870817","184.0000","3.076000"
"143","2019-12-29 11:30:00","21.85000","80.60000","0.50814239","208.4000","3.098000"
"144","2019-12-29 11:45:00","22.73000","77.92000","0.61013287","226.2000","2.773000"
"145","2019-12-29 12:00:00","23.34000","77.09000","0.65685428","234.4000","1.900379"
"146","2019-12-29 12:15:00","24.25000","71.54000","0.86185965","241.1000","3.004000"
"147","2019-12-29 12:30:00","22.97231","71.75000","0.79216547","251.6000","2.731000"
"148","2019-12-29 12:45:00","22.97231","67.02000","0.92480061","254.9000","1.534000"
"149","2019-12-29 13:00:00","22.97231","63.41000","1.02602954","262.3000","1.632000"
"150","2019-12-29 13:15:00","26.00000","61.13000","1.30629883","261.8000","1.584000"
"151","2019-12-29 13:30:00","26.71000","60.13000","1.39717959","261.6000","1.939000"
"152","2019-12-29 13:45:00","27.21000","62.54000","1.35181300","275.0000","2.104000"
"153","2019-12-29 14:00:00","27.98000","59.43000","1.53138325","268.4000","2.342000"
"154","2019-12-29 14:15:00","28.14000","53.97000","1.75373444","274.8000","1.890000"
"155","2019-12-29 14:30:00","27.69000","54.52000","1.68794074","241.2000","2.007000"
"156","2019-12-29 14:45:00","28.11000","52.44000","1.80886781","241.3000","2.051000"
"157","2019-12-29 15:00:00","28.77000","55.85000","1.74473481","241.3000","1.459000"
"158","2019-12-29 15:15:00","28.38000","53.27000","1.80540842","147.3000","1.395000"
"159","2019-12-29 15:30:00","28.43000","51.34000","1.88543796","223.0000","1.718000"
"160","2019-12-29 15:45:00","28.60000","50.45000","1.93894649","122.0000","1.403000"
"161","2019-12-29 16:00:00","27.75000","50.09000","1.85885148","124.6000","0.983000"
"162","2019-12-29 16:15:00","27.42000","53.12000","1.71267158","113.1000","1.016000"
"163","2019-12-29 16:30:00","27.81000","48.36000","1.93002551","112.3000","1.677000"
"164","2019-12-29 16:45:00","27.32000","53.26000","1.69759668"," 80.4000","0.802000"
"165","2019-12-29 17:00:00","27.16000","48.80000","1.84224204"," 93.9000","0.000000"
"166","2019-12-29 17:15:00","27.26000","49.96000","1.81108062"," 80.6000","0.758000"
"167","2019-12-29 17:30:00","22.97231","50.23000","1.39561329"," 60.2900","0.848000"
"168","2019-12-29 17:45:00","22.97231","53.23000","1.31148952"," 40.1900","1.328000"
"169","2019-12-29 18:00:00","25.35000","55.09000","1.45225556"," 33.5000","1.367000"
"170","2019-12-29 18:15:00","24.81000","57.01000","1.34619271"," 20.4400","0.697000"
"171","2019-12-29 18:30:00","24.16000","59.20000","1.22890843"," 10.8300","0.946000"
"172","2019-12-29 18:45:00","23.54000","61.44000","1.11896539","  0.6700","0.745000"
"173","2019-12-29 19:00:00","23.03000","63.00000","1.04115275","  0.2230","0.451000"
"174","2019-12-29 19:15:00","22.54000","64.58000","0.96754049","  0.4470","0.725000"
"175","2019-12-29 19:30:00","22.19000","66.05000","0.90786630","  0.2230","0.745000"
"176","2019-12-29 19:45:00","21.99000","67.80000","0.85064364","  0.2230","0.996000"
"177","2019-12-29 20:00:00","21.90000","68.83000","0.81892717","  0.1120","1.831000"
"178","2019-12-29 20:15:00","21.67000","69.05000","0.80180899","  0.6700","1.187000"
"179","2019-12-29 20:30:00","21.70000","69.56000","0.79004339","  0.7820","1.624000"
"180","2019-12-29 20:45:00","21.50000","70.67000","0.75198294","  0.4470","1.166000"
"181","2019-12-29 21:00:00","21.19000","72.11000","0.70161219","  0.3350","1.119000"
"182","2019-12-29 21:15:00","21.01000","72.01000","0.69639182","  0.5590","2.269000"
"183","2019-12-29 21:30:00","20.84000","68.90000","0.76572655","  0.6710","2.056000"
"184","2019-12-29 21:45:00","20.60000","67.02000","0.80010683","  0.3350","2.922000"
"185","2019-12-29 22:00:00","20.42000","66.43000","0.80543192","  0.5590","1.599000"
"186","2019-12-29 22:15:00","20.31000","67.56000","0.77305353","  0.8940","2.659000"
"187","2019-12-29 22:30:00","20.19000","69.34000","0.72523902","  0.7820","2.089000"
"188","2019-12-29 22:45:00","20.00000","71.03000","0.67725697","  0.2240","1.127000"
"189","2019-12-29 23:00:00","19.80000","72.30000","0.63959337","  0.8940","0.764000"
"190","2019-12-29 23:15:00","19.69000","72.14000","0.63891383","  0.3350","1.269000"
"191","2019-12-29 23:30:00","19.62000","71.58000","0.64893078","  0.4470","1.437000"
"192","2019-12-29 23:45:00","19.59000","71.25000","0.65524418","  0.0000","1.173000"
"193","2019-12-30 00:00:00","19.42000","71.21000","0.64926087","  0.2240","2.602000"
"194","2019-12-30 00:15:00","19.35000","69.83000","0.67742626","  0.0000","2.050000"
"195","2019-12-30 00:30:00","19.21000","69.39000","0.68134215","  0.2240","0.933000"
"196","2019-12-30 00:45:00","18.98000","71.51000","0.62512596","  0.1120","0.921000"
"197","2019-12-30 01:00:00","18.84000","72.41000","0.60011027","  0.1120","1.310000"
"198","2019-12-30 01:15:00","18.70000","74.14000","0.55758105","  0.1120","2.458000"
"199","2019-12-30 01:30:00","18.63000","73.38000","0.57146026","  0.3350","3.595000"
"200","2019-12-30 01:45:00","18.66000","72.32000","0.59533186","  0.4470","3.863000"
"201","2019-12-30 02:00:00","18.62000","73.12000","0.57668084","  0.5590","2.336000"
